date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:17	15885/15885	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://dharmanandanjewellers.bytecard.in/_next/static/chunks/123-b8b8e7367f819f70.js	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/chunks/123-b8b8e7367f819f70.js	(from https://dharmanandanjewellers.bytecard.in/)
11:18:17	55413/55413	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://dharmanandanjewellers.bytecard.in/_next/static/chunks/776-cb1655a63aa46a0b.js	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/chunks/776-cb1655a63aa46a0b.js	(from https://dharmanandanjewellers.bytecard.in/)
11:18:17	16040/16040	---M--	200	added ('OK')	font/woff2	etag:W/%223ea8-197d4546692%22	https://dharmanandanjewellers.bytecard.in/_next/static/media/poppins-black.b3f9b21c.woff2	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/media/poppins-black.b3f9b21c.woff2	(from https://dharmanandanjewellers.bytecard.in/_next/static/css/9eba69d77386cb6f.css)
11:18:18	92758/92758	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://dharmanandanjewellers.bytecard.in/_next/static/chunks/4e6af11a-64eade7aee1e9f6f.js	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/chunks/4e6af11a-64eade7aee1e9f6f.js	(from https://dharmanandanjewellers.bytecard.in/)
11:18:18	3065/3065	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://dharmanandanjewellers.bytecard.in/_next/static/chunks/160b575a-1c4ff8dda26610b7.js	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/chunks/160b575a-1c4ff8dda26610b7.js	(from https://dharmanandanjewellers.bytecard.in/)
11:18:18	33817/33817	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://dharmanandanjewellers.bytecard.in/_next/static/chunks/975-1c0997fee2a238bc.js	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/chunks/975-1c0997fee2a238bc.js	(from https://dharmanandanjewellers.bytecard.in/)
11:18:18	51970/51970	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://dharmanandanjewellers.bytecard.in/_next/static/chunks/908-59ad984b2b09ee14.js	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/chunks/908-59ad984b2b09ee14.js	(from https://dharmanandanjewellers.bytecard.in/)
11:18:19	54534/54534	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://dharmanandanjewellers.bytecard.in/_next/static/chunks/990-f7551e3f5d3a2f8b.js	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/chunks/990-f7551e3f5d3a2f8b.js	(from https://dharmanandanjewellers.bytecard.in/)
11:18:19	26966/26966	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://dharmanandanjewellers.bytecard.in/_next/static/chunks/648-367a23904d52504c.js	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/chunks/648-367a23904d52504c.js	(from https://dharmanandanjewellers.bytecard.in/)
11:18:19	62199/62199	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://dharmanandanjewellers.bytecard.in/_next/static/chunks/698-591448ce1cf40c03.js	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/chunks/698-591448ce1cf40c03.js	(from https://dharmanandanjewellers.bytecard.in/)
